,drift_type,strength,length,window,step,seed,tp_regular,fn_regular,fp_regular,delay_regular,tp_irregular,fn_irregular,fp_irregular,delay_irregular
195,2,0.75,"(0.1, 0.4)",2160,24,0,1,0,0,7909.0,1,0,0,11250.0
196,2,0.75,"(0.1, 0.4)",2160,24,1,1,0,0,8359.0,1,0,0,9968.0
197,2,0.75,"(0.1, 0.4)",2160,24,2,1,0,0,486.0,1,0,0,2176.0
198,2,0.75,"(0.1, 0.4)",2160,24,3,1,0,0,8249.0,1,0,0,11777.0
199,2,0.75,"(0.1, 0.4)",2160,24,4,1,0,10,4360.0,1,0,43,7593.0
200,2,0.75,"(0.1, 0.4)",2160,168,0,1,0,0,8173.0,1,0,0,11394.0
201,2,0.75,"(0.1, 0.4)",2160,168,1,1,0,0,8983.0,1,0,0,10112.0
202,2,0.75,"(0.1, 0.4)",2160,168,2,1,0,0,774.0,1,0,0,2464.0
203,2,0.75,"(0.1, 0.4)",2160,168,3,1,0,0,8441.0,1,0,0,11969.0
204,2,0.75,"(0.1, 0.4)",2160,168,4,1,0,1,4624.0,1,0,5,7737.0
205,2,0.75,"(0.1, 0.4)",2160,720,0,1,0,0,8845.0,1,0,0,12594.0
206,2,0.75,"(0.1, 0.4)",2160,720,1,1,0,0,9751.0,1,0,0,12560.0
207,2,0.75,"(0.1, 0.4)",2160,720,2,1,0,0,1182.0,1,0,0,2992.0
208,2,0.75,"(0.1, 0.4)",2160,720,3,1,0,0,9497.0,1,0,0,12497.0
209,2,0.75,"(0.1, 0.4)",2160,720,4,1,0,0,5344.0,1,0,2,8697.0
210,2,1.0,"(0.1, 0.4)",168,24,0,1,0,0,5845.0,1,0,3,3642.0
211,2,1.0,"(0.1, 0.4)",168,24,1,1,0,0,7615.0,1,0,3,10040.0
212,2,1.0,"(0.1, 0.4)",168,24,2,1,0,0,2646.0,1,0,3,5200.0
213,2,1.0,"(0.1, 0.4)",168,24,3,1,0,0,5801.0,1,0,3,13313.0
214,2,1.0,"(0.1, 0.4)",168,24,4,1,0,0,5344.0,1,0,3,5457.0
215,2,1.0,"(0.1, 0.4)",720,24,0,1,0,6,11605.0,1,0,3,690.0
